Pais,GDP,Emisiones,Poblacion,Region
Central African Republic,589,0.06765693,4538000,Africa
Burundi,665,0.04828412,10488000,Africa
Liberia,829,0.210027912,4587000,Africa
Democratic Republic of Congo,836,0.06115658,78789000,Africa
Niger,925,0.108088214,20789000,Africa
Malawi,1112,0.072715456,17205000,Africa
Mozambique,1113,0.340152759,27830000,Africa
Madagascar,1381,0.122289694,24894000,Africa
Togo,1400,0.361822432,7510000,Africa
Guinea,1417,0.209885019,11738000,Africa
Guinea-Bissau,1436,0.161868295,1782000,Africa
Burkina Faso,1483,0.159269688,18646000,Africa
Zimbabwe,1534,0.615010975,14030000,Africa
Mali,1594,0.084974086,17965000,Africa
Sierra Leone,1619,0.167003671,7329000,Africa
Ethiopia,1635,0.126381721,103603000,Africa
Comoros,1702,0.227964683,796000,Africa
Haiti,1728,0.27642212,10840000,America
Rwanda,1758,0.082582398,11669000,Africa
Gambia,1788,0.270911596,2149000,Africa
Afghanistan,1929,0.353701996,35383000,Asia
Uganda,1980,0.134289383,39649000,Africa
Benin,2080,0.620652465,10872000,Africa
Chad,2189,0.050438753,14562000,Africa
Senegal,2403,0.554231389,14994000,Africa
Nepal,2435,0.294173253,27263000,Asia
Yemen,2506,0.693709216,27168000,Asia
Tanzania,2660,0.244811105,53049000,Africa
Lesotho,2767,1.117106457,2075000,Africa
Cameroon,2828,0.323651695,23927000,Africa
Djibouti,3064,0.836463734,929000,Africa
Syria,3091,1.519192038,17466000,Asia
Kenya,3169,0.314356612,49052000,Africa
Cambodia,3251,0.474672423,15766000,Asia
Cote d'Ivoire,3395,0.453982894,23823000,Africa
Mauritania,3407,0.585452528,4164000,Africa
Zambia,3479,0.275754125,16363000,Africa
Bangladesh,3604,0.523183748,157976992,Asia
Sao Tome and Principe,3624,0.587861888,203000,Africa
Sudan,3651,0.441849235,39847000,Africa
Ghana,3878,0.535465664,28482000,Africa
Tajikistan,3991,0.638702688,8664000,Asia
Honduras,4796,1.160578937,9271000,America
Kyrgyzstan,4879,1.655534838,6074000,Asia
Nicaragua,5045,0.861771079,6304000,America
Pakistan,5223,0.969989894,203631008,Asia
Myanmar,5284,0.454146249,53045000,Asia
Nigeria,5360,0.546115505,185960000,Africa
Laos,5859,0.280917046,6846000,Asia
Congo,5974,0.658266087,4981000,Africa
Vietnam,6062,2.091609372,93640000,Asia
Moldova,6068,1.280999597,4066000,Europa
India,6125,1.79542312,1324516992,Asia
Bolivia,6355,1.888545673,11032000,America
Cape Verde,6418,0.986367466,531000,Africa
Jamaica,7084,2.711023428,2906000,America
Guatemala,7221,1.262601875,16583000,America
Philippines,7410,1.154407927,103664000,Asia
Swaziland,7881,0.92414115,1114000,Africa
Morocco,8039,1.737282076,35126000,Africa
Libya,8096,8.15323475,6492000,Africa
El Salvador,8280,1.077164161,6356000,America
Angola,8453,1.226891841,28842000,Africa
Paraguay,8786,0.86071163,6778000,America
Ukraine,9214,5.291703206,44714000,Europa
Namibia,9376,1.61262411,2358000,Africa
Dominica,9550,1.961759379,71000,America
Bosnia and Herzegovina,9746,7.393533819,3386000,Europa
Armenia,10080,2.038012911,2936000,Asia
Saint Lucia,10233,2.431373761,180000,America
Albania,10342,2.143578939,2886000,Europa
Uzbekistan,10381,3.113998349,31442000,Asia
Ecuador,10527,2.42622815,16491000,America
Georgia,10899,2.506462126,4015000,Asia
Indonesia,10911,1.780273085,261556000,Asia
Tunisia,11073,2.35965141,11304000,Africa
Sri Lanka,11149,1.055399933,21021000,Asia
Egypt,11351,2.183239812,94447000,Africa
Jordan,11529,2.28749213,9554000,Asia
Peru,11776,2.087918506,30926000,America
Barbados,12003,4.648025551,286000,America
South Africa,12139,8.355644942,56208000,Africa
Mongolia,12360,9.47380064,3056000,Asia
China,12569,6.914483012,1414049024,Asia
Macedonia,12644,3.432634631,2081000,Europa
Lebanon,12972,3.28924565,6714000,Asia
Serbia,13184,4.915032679,8854000,Europa
Colombia,13326,1.775270638,48175000,America
Brazil,13873,2.281410256,206163008,America
Iraq,13898,4.971127627,36611000,Asia
Costa Rica,14098,1.763475614,4899000,America
Algeria,14331,3.703340218,40551000,Africa
Dominican Republic,14489,2.045522717,10398000,America
Botswana,15198,3.154478265,2160000,Africa
Venezuela,15219,5.261512483,29851000,America
Thailand,15454,4.717071714,68971000,Asia
Mexico,16133,3.95937175,123333000,America
Azerbaijan,16645,4.080899756,9736000,Asia
Iran,16783,7.941985293,79564000,Asia
Bulgaria,17037,6.350336538,7152000,Europa
Belarus,17628,6.382799036,9446000,Europa
Montenegro,17741,4.093904536,627000,Europa
Romania,17782,3.794688164,19796000,Europa
Turkey,17906,5.066136251,79828000,Asia
Gabon,18413,2.766020423,2008000,Africa
Argentina,18875,4.722376195,43508000,America
Mauritius,18918,3.237879976,1262000,Africa
Uruguay,19468,1.964115228,3424000,America
Croatia,20376,4.324787154,4209000,Europa
Panama,21449,2.52743656,4037000,America
Chile,21696,4.808999535,18209000,America
Latvia,22092,3.686124007,1974000,Europa
Greece,22574,6.381875336,10615000,Europa
Malaysia,23053,8.051029932,30685000,Asia
Hungary,23279,4.878172068,9753000,Europa
Russia,23635,11.58667437,145275008,Europa
Turkmenistan,23813,13.52100717,5662000,Asia
Kazakhstan,23842,15.47509523,17831000,Asia
Qatar,156299,46.18632001,2654000,Asia
Lithuania,24743,4.524185212,2890000,Europa
Poland,24838,8.430056985,37989000,Europa
Estonia,24857,13.3289724,1317000,Europa
Portugal,25346,4.847338987,10326000,Europa
Slovakia,25364,6.244564852,5442000,Europa
Cyprus,25577,6.245314877,1170000,Asia
Seychelles,26624,6.186818674,96000,Africa
Slovenia,26908,6.930098933,2074000,Europa
Czech Republic,28823,10.04088468,10619000,Europa
Trinidad and Tobago,29178,30.05476928,1378000,America
Malta,29817,3.307878154,436000,Europa
Spain,30110,5.63105816,46634000,Europa
Israel,31701,7.955271705,8109000,Asia
Equatorial Guinea,33317,5.287210399,1215000,Africa
Italy,33419,5.894722874,60663000,Europa
New Zealand,34295,7.394157044,4659000,Oceania
South Korea,36103,11.7159125,50983000,Asia
France,37124,5.409470867,64668000,Europa
Finland,37239,8.708927689,5498000,Europa
United Kingdom,37334,6.058056283,66298000,Europa
Japan,37465,9.427261383,127763000,Asia
Oman,38515,14.56397487,4479000,Asia
Belgium,38766,8.825529525,11354000,Europa
Bahrain,41078,24.04279442,1426000,Asia
Austria,41445,7.736572851,8747000,Europa
Iceland,42085,10.49697769,332000,Europa
Taiwan,42165,11.18475318,23618000,Asia
Canada,43745,15.38142016,36383000,America
Sweden,44659,4.327102935,9836000,Europa
Germany,44689,9.7876606,82194000,Europa
Denmark,44836,6.498282097,5711000,Europa
Netherlands,45600,9.743854352,16981000,Europa
Hong Kong,48330,5.920417817,7244000,Asia
Australia,48845,17.13390232,24263000,Oceania
Saudi Arabia,51397,19.56733583,32443000,Asia
United States,53015,16.48416388,323016000,America
Ireland,56597,8.448467854,4696000,Europa
Luxembourg,57006,15.63699945,579000,Europa
Switzerland,59662,4.666285619,8380000,Europa
Singapore,65729,11.1746818,5654000,Asia
Kuwait,71010,25.52839225,3957000,Asia
United Arab Emirates,75876,25.18191094,9361000,Asia
Norway,82814,8.379483692,5251000,Europa
