Year,State Abbr.,State FIPS,State Sales Tax Rate,State Food Sales Tax Rate,Food exempt from state sales tax (Source: FTA) (Y/N),"Statutes tax all ""food products"" sold through (VM) (Y/N)",Statutes EXEMPT all food products sold through (VM) (Y/N),Sales Tax: regular soda sold at retail (not in VM; not fountain),Sales Tax: regular soda (VM),Disfavored tax: Soda (Y/N),Disfavored tax: soda sold through VM (Y/N),Sales Tax rate Bottled Water ,Sales tax: Candy,Sales Tax: Gum,Sales Tax: Chips/ Pretzels (VM),Sales Tax: Ice Cream,Sales Tax: Popsicle,Sales Tax: Milkshakes/ Baked Goods
2010,SC,45,6.000,0.000,1.000,0.000,0.000,0.000,6.000,0,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
2011,SC,45,6.000,0.000,1.000,0.000,0.000,0.000,6.000,0,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
2012,SC,45,6.000,0.000,1.000,0.000,0.000,0.000,6.000,0,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
2013,SC,45,6.000,0.000,1.000,0.000,0.000,0.000,6.000,0,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
2014,SC,45,6.000,0.000,1.000,0.000,0.000,0.000,6.000,0,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
1997,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
1998,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
1999,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2000,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2001,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2002,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2003,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2004,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2005,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2006,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2007,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2008,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2009,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2010,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2011,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2012,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2013,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2014,SD,46,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
1997,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
1998,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
1999,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2000,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2001,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2002,TN,47,6.000,6.000,0.000,0.000,0.000,6.000,6.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2003,TN,47,7.000,6.000,1.000,0.000,0.000,6.000,6.000,0,0,6.000,7.000,6.000,6.000,6.000,6.000,6.000
2004,TN,47,7.000,6.000,1.000,0.000,0.000,6.000,6.000,0,0,6.000,7.000,6.000,6.000,6.000,6.000,6.000
2005,TN,47,7.000,6.000,1.000,0.000,0.000,6.000,6.000,0,0,6.000,7.000,6.000,6.000,6.000,6.000,6.000
2006,TN,47,7.000,6.000,1.000,0.000,0.000,6.000,6.000,0,0,6.000,7.000,6.000,6.000,6.000,6.000,6.000
2007,TN,47,7.000,6.000,1.000,0.000,0.000,6.000,6.000,0,0,6.000,7.000,6.000,6.000,6.000,6.000,6.000
2008,TN,47,7.000,5.500,1.000,0.000,0.000,5.500,5.500,0,0,5.500,7.000,5.500,5.500,5.500,5.500,5.500
2009,TN,47,7.000,5.500,1.000,0.000,0.000,5.500,5.500,0,0,5.500,7.000,5.500,5.500,5.500,5.500,5.500
2010,TN,47,7.000,5.500,1.000,0.000,0.000,5.500,5.500,0,0,5.500,7.000,5.500,5.500,5.500,5.500,5.500
2011,TN,47,7.000,5.500,1.000,0.000,0.000,5.500,5.500,0,0,5.500,7.000,5.500,5.500,5.500,5.500,5.500
2012,TN,47,7.000,5.500,1.000,0.000,0.000,5.500,5.500,0,0,5.500,7.000,5.500,5.500,5.500,5.500,5.500
2013,TN,47,7.000,5.250,1.000,0.000,0.000,5.250,5.250,0,0,5.250,7.000,5.250,5.250,5.250,5.250,5.250
2014,TN,47,7.000,5.000,1.000,0.000,0.000,5.000,5.000,0,0,5.000,7.000,5.000,5.000,5.000,5.000,5.000
1997,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
1998,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
1999,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2000,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2001,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2002,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2003,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2004,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2005,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2006,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2007,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2008,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2009,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2010,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2011,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2012,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2013,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
2014,TX,48,6.250,0.000,1.000,1.000,0.000,6.250,6.250,1,1,0.000,6.250,6.250,6.250,0.000,0.000,0.000
1997,UT,49,4.880,4.880,0.000,0.000,0.000,4.880,4.880,0,0,4.750,4.880,4.880,4.880,4.880,4.880,4.880
1998,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
1999,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2000,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2001,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2002,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2003,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2004,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2005,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2006,UT,49,4.750,4.750,0.000,0.000,0.000,4.750,4.750,0,0,4.750,4.750,4.750,4.750,4.750,4.750,4.750
2007,UT,49,4.750,2.750,1.000,0.000,0.000,2.750,2.750,0,0,2.750,2.750,2.750,2.750,2.750,2.750,2.750
2008,UT,49,4.650,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2009,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2010,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2011,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2012,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2013,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
2014,UT,49,4.700,1.750,1.000,0.000,0.000,1.750,1.750,0,0,1.750,1.750,1.750,1.750,1.750,1.750,1.750
1997,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1998,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,3.500
1999,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,3.500
2000,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2001,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2002,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2003,VT,50,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2004,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2005,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2006,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2007,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2008,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2009,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2010,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2011,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2012,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2013,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2014,VT,50,6.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1997,VA,51,3.500,3.500,0.000,1.000,0.000,3.500,3.500,0,0,3.500,3.500,3.500,3.500,3.500,3.500,3.500
1998,VA,51,3.500,3.500,0.000,1.000,0.000,3.500,3.500,0,0,3.500,3.500,3.500,3.500,3.500,3.500,3.500
1999,VA,51,3.500,3.500,0.000,1.000,0.000,3.500,3.500,0,0,3.500,3.500,3.500,3.500,3.500,3.500,3.500
2000,VA,51,3.500,2.000,1.000,1.000,0.000,2.000,3.500,0,1,2.000,2.000,2.000,3.500,2.000,2.000,2.000
2001,VA,51,3.500,2.000,1.000,1.000,0.000,2.000,3.500,0,1,2.000,2.000,2.000,3.500,2.000,2.000,2.000
2002,VA,51,3.500,2.000,1.000,1.000,0.000,2.000,3.500,0,1,2.000,2.000,2.000,3.500,2.000,2.000,2.000
2003,VA,51,3.500,2.000,1.000,1.000,0.000,2.000,3.500,0,1,2.000,2.000,2.000,3.500,2.000,2.000,2.000
2004,VA,51,3.500,1.000,1.000,1.000,0.000,1.000,3.500,0,1,1.000,1.000,1.000,3.500,1.000,1.000,1.000
2005,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2006,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2007,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2008,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2009,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2010,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2011,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2012,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2013,VA,51,4.000,1.500,1.000,1.000,0.000,1.500,4.000,0,1,1.500,1.500,1.500,4.000,1.500,1.500,1.500
2014,VA,51,4.300,1.500,1.000,1.000,0.000,1.500,5.300,0,1,1.500,1.500,1.500,5.300,1.500,1.500,1.500
1997,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,0.000
1998,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,3.500
1999,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,3.500
2000,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,0.000
2001,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,0.000
2002,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,0.000
2003,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,6.500,0.000,0.000,6.500,0.000,0.000,0.000
2004,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2005,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2006,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2007,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2008,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2009,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2010,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2011,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2012,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2013,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
2014,WA,53,6.500,0.000,1.000,1.000,0.000,6.500,6.500,1,1,0.000,0.000,0.000,6.500,0.000,0.000,0.000
1997,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
1998,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
1999,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2000,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2001,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2002,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2003,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2004,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2005,WV,54,6.000,6.000,0.000,0.000,0.000,6.000,0.000,0,0,6.000,6.000,6.000,6.000,6.000,6.000,6.000
2006,WV,54,6.000,5.000,1.000,1.000,0.000,5.000,5.000,0,0,5.000,5.000,5.000,5.000,5.000,5.000,5.000
2007,WV,54,6.000,5.000,1.000,1.000,0.000,5.000,5.000,0,0,5.000,5.000,5.000,5.000,5.000,5.000,5.000
2008,WV,54,6.000,4.000,1.000,1.000,0.000,6.000,6.000,1,1,4.000,4.000,4.000,6.000,4.000,4.000,4.000
2009,WV,54,6.000,3.000,1.000,1.000,0.000,6.000,6.000,1,1,3.000,3.000,3.000,6.000,3.000,3.000,3.000
2010,WV,54,6.000,3.000,1.000,1.000,0.000,6.000,6.000,1,1,3.000,3.000,3.000,6.000,3.000,3.000,3.000
2011,WV,54,6.000,3.000,1.000,1.000,0.000,6.000,6.000,1,1,3.000,3.000,3.000,6.000,3.000,3.000,3.000
2012,WV,54,6.000,2.000,1.000,1.000,0.000,6.000,6.000,1,1,2.000,2.000,2.000,6.000,2.000,2.000,2.000
2013,WV,54,6.000,1.000,1.000,1.000,0.000,6.000,6.000,1,1,1.000,1.000,1.000,6.000,1.000,1.000,1.000
2014,WV,54,6.000,0.000,1.000,1.000,0.000,6.000,6.000,1,1,0.000,0.000,0.000,6.000,0.000,0.000,0.000
1997,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
1998,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
1999,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2000,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2001,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2002,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2003,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2004,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2005,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2006,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2007,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2008,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2009,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2010,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2011,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2012,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2013,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
2014,WI,55,5.000,0.000,1.000,0.000,0.000,5.000,5.000,1,1,0.000,5.000,5.000,0.000,5.000,0.000,0.000
1997,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
1998,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
1999,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2000,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2001,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2002,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2003,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2004,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2005,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2006,WY,56,4.000,4.000,0.000,0.000,0.000,4.000,4.000,0,0,4.000,4.000,4.000,4.000,4.000,4.000,4.000
2007,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2008,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2009,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2010,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2011,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2012,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2013,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
2014,WY,56,4.000,0.000,1.000,0.000,0.000,0.000,4.000,0,1,0.000,0.000,0.000,4.000,0.000,0.000,0.000
