CVE_ENT,NOM_ENT,NOM_ABR,NOM_LOC,LAT,LNG,SUP,POB,DENS
1,Aguascalientes,AGS,Aguascalientes,21.879823,-102.296047,5616,1425607,253.8474003
2,Baja California,BC,Tijuana,32.532461,-117.018913,71450,3769020,52.75045486
3,Baja California Sur,BCS,La Paz,24.142222,-110.310833,73909,798447,10.80310923
4,Campeche,CAM,San Francisco de Campeche,19.844814,-90.539649,57507,928363,16.14347819
5,Coahuila de Zaragoza,COAH,Saltillo,25.421665,-100.999721,151562,3146771,20.76226891
6,Colima,COL,Colima,19.242922,-103.728119,5627,731391,129.978852
7,Chiapas,CHIS,Tuxtla GutiÈrrez,16.753972,-93.115192,73311,5543828,75.62068448
8,Chihuahua,CHIH,Chihuahua,28.636794,-106.076307,247455,3741869,15.12141197
9,Ciudad de M√©xico,CDMX,CDMX,19.390806,-99.195413,1495,9209944,6160.497659
10,Durango,DGO,Victoria de Durango,24.023988,-104.670194,123317,1832650,14.86129244
11,Guanajuato,GTO,Guanajuato,21.016098,-101.253621,30608,6166934,201.481116
12,Guerrero,GRO,Chilpancingo de los Bravo,17.551649,-99.501063,63596,3540685,55.67464935
13,Hidalgo,HGO,Pacula,21.050821,-99.296099,20813,3082841,148.120934
14,Jalisco,JAL,Guadalajara,20.676389,-103.342222,78588,8348151,106.2267903
15,M√©xico,MEX,Toluca de Lerdo,19.293488,-99.657317,22351,16992418,760.253143
16,Michoac√°n de Ocampo,MICH,Morelia,19.703384,-101.192046,58599,4748846,81.03971058
17,Morelos,MOR,Cuernavaca,18.921783,-99.234897,4879,1971520,404.0828039
18,Nayarit,HAY,Tepic,21.507413,-104.893799,27857,1235456,44.34993
19,Nuevo Le√≥n,NL,Monterrey,25.664697,-100.310892,64156,5784442,90.16213604
20,Oaxaca,OAX,Oaxaca de Ju√°rez,17.059993,-96.72545,93757,4132148,44.07295455
21,Puebla,PUE,Cholula de Rivadavia,19.062484,-98.307506,34306,6583278,191.8987349
22,Quer√©taro,QRO,Santiago de Quer√©taro,20.593391,-100.389957,11699,2368467,202.4503804
23,Quintana Roo,QROO,Canc˙n,21.161416,-86.824811,44705,1857985,41.56101107
24,San Luis Potos√≠,SLP,San Luis Potos√≠,22.151655,-100.976958,61137,2822255,46.16279831
25,Sinaloa,SIN,Culiac·n Rosales,24.808808,-107.393756,58200,3026943,52.0093299
26,Sonora,SON,Hermosillo,29.0749,-110.958535,179355,2944840,16.41905718
27,Tabasco,TAB,Villahermosa,17.987838,-92.919416,24731,2402598,97.14924589
28,Tamaulipas,TAMP,Ciudad Victoria,23.731053,-99.15125,80249,3527735,43.95986243
29,Tlaxcala,TLAX,Tlaxcala de Xicoht√©ncatl,19.316553,-98.23764,4016,1342977,334.4066235
30,Veracruz de Ignacio de la Llave,VER,Veracruz,19.190323,-96.153028,71826,8062579,112.2515384
31,Yucat√°n,YUC,MÈrida,20.967184,-89.624365,39524,2320898,58.72123267
32,Zacatecas,ZAC,Zacatecas,22.776096,-102.571836,75284,1622138,21.54691568
